"Plot Title: diksmuide "
"#","Date Time, GMT+01:00","High Range, mS/cm (LGR S/N: 21362415, SEN S/N: 21362415)","Temp, °C (LGR S/N: 21362415, SEN S/N: 21362415)","Coupler Detached (LGR S/N: 21362415)","Coupler Attached (LGR S/N: 21362415)","Host Connected (LGR S/N: 21362415)","End Of File (LGR S/N: 21362415)"
1,02/16/23 09:48:43 AM,0.0000,12.94,,,,
2,02/16/23 09:53:59 AM,,,Logged,,,
3,02/16/23 09:54:00 AM,,,,Logged,Logged,
4,02/16/23 09:54:11 AM,,,Logged,,,
5,02/16/23 10:18:43 AM,0.6623,6.74,,,,
6,02/16/23 10:48:43 AM,0.6639,6.77,,,,
7,02/16/23 11:18:43 AM,0.6660,6.83,,,,
8,02/16/23 11:48:43 AM,0.6649,6.87,,,,
9,02/16/23 12:18:43 PM,0.6644,6.92,,,,
10,02/16/23 12:48:43 PM,0.6644,7.02,,,,
11,02/16/23 01:18:43 PM,0.6654,7.08,,,,
12,02/16/23 01:48:43 PM,0.6633,7.14,,,,
13,02/16/23 02:18:43 PM,0.6654,7.16,,,,
14,02/16/23 02:48:43 PM,0.6754,7.05,,,,
15,02/16/23 03:18:43 PM,0.6818,6.92,,,,
16,02/16/23 03:48:43 PM,0.6834,6.92,,,,
17,02/16/23 04:18:43 PM,0.6902,6.87,,,,
18,02/16/23 04:48:43 PM,0.6913,6.92,,,,
19,02/16/23 05:18:43 PM,0.6923,6.95,,,,
20,02/16/23 05:48:43 PM,0.6928,6.99,,,,
21,02/16/23 06:18:43 PM,0.6981,7.02,,,,
22,02/16/23 06:48:43 PM,0.7066,7.04,,,,
23,02/16/23 07:18:43 PM,0.7150,7.04,,,,
24,02/16/23 07:48:43 PM,0.7150,7.07,,,,
25,02/16/23 08:18:43 PM,0.7118,7.10,,,,
26,02/16/23 08:48:43 PM,0.7134,7.12,,,,
27,02/16/23 09:18:43 PM,0.7140,7.14,,,,
28,02/16/23 09:48:43 PM,0.7161,7.20,,,,
29,02/16/23 10:18:43 PM,0.7198,7.14,,,,
30,02/16/23 10:48:43 PM,0.7192,7.16,,,,
31,02/16/23 11:18:43 PM,0.7198,7.19,,,,
32,02/16/23 11:48:43 PM,0.7208,7.21,,,,
33,02/17/23 12:18:43 AM,0.7198,7.21,,,,
34,02/17/23 12:48:43 AM,0.7203,7.24,,,,
35,02/17/23 01:18:43 AM,0.7203,7.26,,,,
36,02/17/23 01:48:43 AM,0.7208,7.33,,,,
37,02/17/23 02:18:43 AM,0.7124,7.30,,,,
38,02/17/23 02:48:43 AM,0.7108,7.30,,,,
39,02/17/23 03:18:43 AM,0.7097,7.28,,,,
40,02/17/23 03:48:43 AM,0.7023,7.30,,,,
41,02/17/23 04:18:43 AM,0.6934,7.34,,,,
42,02/17/23 04:48:43 AM,0.6860,7.38,,,,
43,02/17/23 05:18:43 AM,0.6834,7.39,,,,
44,02/17/23 05:48:43 AM,0.6828,7.40,,,,
45,02/17/23 06:18:43 AM,0.6828,7.44,,,,
46,02/17/23 06:48:43 AM,0.6812,7.40,,,,
47,02/17/23 07:18:43 AM,0.6870,7.38,,,,
48,02/17/23 07:48:43 AM,0.6807,7.41,,,,
49,02/17/23 08:18:43 AM,0.6839,7.38,,,,
50,02/17/23 08:48:43 AM,0.6849,7.39,,,,
51,02/17/23 09:18:43 AM,0.6865,7.41,,,,
52,02/17/23 09:48:43 AM,0.6876,7.47,,,,
53,02/17/23 10:18:43 AM,0.6876,7.51,,,,
54,02/17/23 10:48:43 AM,0.6881,7.55,,,,
55,02/17/23 11:18:43 AM,0.6897,7.56,,,,
56,02/17/23 11:48:43 AM,0.6902,7.57,,,,
57,02/17/23 12:18:43 PM,0.6918,7.61,,,,
