"Plot Title: yserstar"
"#","Date Time, GMT+01:00","High Range, mS/cm (LGR S/N: 21362421, SEN S/N: 21362421)","Temp, °C (LGR S/N: 21362421, SEN S/N: 21362421)","Coupler Detached (LGR S/N: 21362421)","Coupler Attached (LGR S/N: 21362421)","Host Connected (LGR S/N: 21362421)","End Of File (LGR S/N: 21362421)"
1,02/16/23 12:16:36 PM,0.0000,10.60,,,,
2,02/16/23 12:19:33 PM,,,Logged,,,
3,02/16/23 12:19:47 PM,,,,Logged,Logged,
4,02/16/23 12:19:59 PM,,,Logged,,,
5,02/16/23 12:46:36 PM,0.7490,6.74,,,,
6,02/16/23 01:16:36 PM,0.7327,6.77,,,,
7,02/16/23 01:46:36 PM,0.7479,6.77,,,,
8,02/16/23 02:16:36 PM,0.7332,6.78,,,,
9,02/16/23 02:46:36 PM,0.7745,6.79,,,,
10,02/16/23 03:16:36 PM,0.7801,6.83,,,,
11,02/16/23 03:46:36 PM,0.7847,6.84,,,,
12,02/16/23 04:16:36 PM,0.7647,6.85,,,,
13,02/16/23 04:46:36 PM,0.9365,6.87,,,,
14,02/16/23 05:16:36 PM,1.0091,6.89,,,,
15,02/16/23 05:46:36 PM,0.9370,6.87,,,,
16,02/16/23 06:16:36 PM,0.8887,6.84,,,,
17,02/16/23 06:46:36 PM,0.8882,6.84,,,,
18,02/16/23 07:16:36 PM,0.8960,6.84,,,,
19,02/16/23 07:46:36 PM,0.9034,6.84,,,,
20,02/16/23 08:16:36 PM,0.8992,6.84,,,,
21,02/16/23 08:46:36 PM,0.8856,6.83,,,,
22,02/16/23 09:16:36 PM,0.8830,6.85,,,,
23,02/16/23 09:46:36 PM,0.8767,6.85,,,,
24,02/16/23 10:16:36 PM,0.8731,6.84,,,,
25,02/16/23 10:46:36 PM,0.8663,6.85,,,,
26,02/16/23 11:16:36 PM,0.8502,6.87,,,,
27,02/16/23 11:46:36 PM,0.8621,6.85,,,,
28,02/17/23 12:16:36 AM,0.8585,6.87,,,,
29,02/17/23 12:46:36 AM,0.8398,6.89,,,,
30,02/17/23 01:16:36 AM,0.8471,6.87,,,,
31,02/17/23 01:46:36 AM,0.8357,6.90,,,,
32,02/17/23 02:16:36 AM,0.8372,6.92,,,,
