"Plot Title: Schoorbakkebrug"
"#","Date Time, GMT+01:00","High Range, mS/cm (LGR S/N: 20844998, SEN S/N: 20844998)","Temp, °C (LGR S/N: 20844998, SEN S/N: 20844998)","Coupler Detached (LGR S/N: 20844998)","Coupler Attached (LGR S/N: 20844998)","Host Connected (LGR S/N: 20844998)","Stopped (LGR S/N: 20844998)","End Of File (LGR S/N: 20844998)"
1,02/16/23 11:07:30 AM,1.0388,13.23,,,,,
2,02/16/23 11:08:25 AM,,,Logged,,,,
3,02/16/23 11:10:18 AM,,,,Logged,Logged,,
4,02/16/23 11:10:38 AM,,,Logged,,,,
5,02/16/23 11:37:30 AM,0.5835,7.09,,,,,
6,02/16/23 12:07:30 PM,0.5851,7.14,,,,,
7,02/16/23 12:37:30 PM,0.5862,7.23,,,,,
8,02/16/23 01:07:30 PM,0.5851,7.29,,,,,
9,02/16/23 01:37:30 PM,0.5872,7.37,,,,,
10,02/16/23 02:07:30 PM,0.5878,7.45,,,,,
11,02/16/23 02:37:30 PM,0.5867,7.46,,,,,
12,02/16/23 03:07:30 PM,0.5867,7.51,,,,,
13,02/16/23 03:37:30 PM,0.5867,7.51,,,,,
14,02/16/23 04:07:30 PM,0.5856,7.51,,,,,
15,02/16/23 04:37:30 PM,0.5846,7.51,,,,,
16,02/16/23 05:07:30 PM,0.5952,7.52,,,,,
17,02/16/23 05:37:30 PM,0.5947,7.54,,,,,
18,02/16/23 06:07:30 PM,0.5936,7.56,,,,,
19,02/16/23 06:37:30 PM,0.5931,7.59,,,,,
20,02/16/23 07:07:30 PM,0.5947,7.63,,,,,
21,02/16/23 07:37:30 PM,0.5974,7.68,,,,,
22,02/16/23 08:07:30 PM,0.5979,7.63,,,,,
23,02/16/23 08:37:30 PM,0.5979,7.69,,,,,
24,02/16/23 09:07:30 PM,0.5979,7.70,,,,,
25,02/16/23 09:37:30 PM,0.5979,7.68,,,,,
26,02/16/23 10:07:30 PM,0.5974,7.61,,,,,
27,02/16/23 10:37:30 PM,0.5974,7.61,,,,,
28,02/16/23 11:07:30 PM,0.5974,7.63,,,,,
29,02/16/23 11:37:30 PM,0.5968,7.64,,,,,
30,02/17/23 12:07:30 AM,0.5968,7.64,,,,,
31,02/17/23 12:37:30 AM,0.5968,7.64,,,,,
32,02/17/23 01:07:30 AM,0.5968,7.65,,,,,
33,02/17/23 01:37:30 AM,0.5968,7.68,,,,,
34,02/17/23 02:07:30 AM,0.5963,7.70,,,,,
35,02/17/23 02:37:30 AM,0.5963,7.70,,,,,
36,02/17/23 03:07:30 AM,0.5968,7.73,,,,,
37,02/17/23 03:37:30 AM,0.5984,7.79,,,,,
38,02/17/23 04:07:30 AM,0.5984,7.79,,,,,
39,02/17/23 04:37:30 AM,0.5995,7.83,,,,,
40,02/17/23 05:07:30 AM,0.5984,7.71,,,,,
41,02/17/23 05:37:30 AM,0.5995,7.75,,,,,
