"Plot Title: oude veurne vaart"
"#","Date Time, GMT+02:00","High Range, μS/cm (LGR S/N: 21362419, SEN S/N: 21362419)","Temp, °C (LGR S/N: 21362419, SEN S/N: 21362419)","Coupler Detached (LGR S/N: 21362419)","Coupler Attached (LGR S/N: 21362419)","Host Connected (LGR S/N: 21362419)","Stopped (LGR S/N: 21362419)","End Of File (LGR S/N: 21362419)"
1,07/15/24 01:22:36 PM,0.0,26.32,,,,,
2,07/15/24 01:22:52 PM,,,Logged,,,,
3,07/15/24 01:52:36 PM,2765.4,20.89,,,,,
4,07/15/24 02:22:36 PM,2427.9,21.05,,,,,
5,07/15/24 02:52:36 PM,2467.8,21.08,,,,,
6,07/15/24 03:22:36 PM,2460.6,21.16,,,,,
7,07/15/24 03:52:36 PM,2530.8,21.03,,,,,
8,07/15/24 04:22:36 PM,2526.6,21.04,,,,,
9,07/15/24 04:52:36 PM,2493.8,21.04,,,,,
10,07/15/24 05:22:36 PM,2589.1,20.98,,,,,
11,07/15/24 05:52:36 PM,2510.2,21.05,,,,,
12,07/15/24 06:22:36 PM,2612.8,20.94,,,,,
13,07/15/24 06:52:36 PM,2601.3,20.96,,,,,
14,07/15/24 07:22:36 PM,2587.9,20.95,,,,,
15,07/15/24 07:52:36 PM,2594.6,20.94,,,,,
16,07/15/24 08:22:36 PM,2619.5,20.91,,,,,
17,07/15/24 08:52:36 PM,2619.5,20.91,,,,,
18,07/15/24 09:22:36 PM,2601.9,20.93,,,,,
19,07/15/24 09:52:36 PM,2709.8,20.87,,,,,
20,07/15/24 10:22:36 PM,2729.4,20.87,,,,,
21,07/15/24 10:52:36 PM,2837.8,20.84,,,,,
22,07/15/24 11:22:36 PM,2769.1,20.87,,,,,
23,07/15/24 11:52:36 PM,2813.2,20.85,,,,,
24,07/16/24 12:22:36 AM,2791.2,20.85,,,,,
25,07/16/24 12:52:36 AM,2745.9,20.87,,,,,
26,07/16/24 01:22:36 AM,2651.8,20.91,,,,,
27,07/16/24 01:52:36 AM,2745.9,20.85,,,,,
28,07/16/24 02:22:36 AM,2626.8,20.91,,,,,
29,07/16/24 02:52:36 AM,2710.4,20.89,,,,,
30,07/16/24 03:22:36 AM,2792.4,20.86,,,,,
31,07/16/24 03:52:36 AM,2560.6,20.96,,,,,
32,07/16/24 04:22:36 AM,2492.6,20.99,,,,,
33,07/16/24 04:52:36 AM,2411.0,20.93,,,,,
34,07/16/24 05:22:36 AM,2428.5,20.86,,,,,
35,07/16/24 05:52:36 AM,2403.8,20.82,,,,,
36,07/16/24 06:22:36 AM,2361.0,20.71,,,,,
37,07/16/24 06:52:36 AM,2344.2,20.68,,,,,
38,07/16/24 07:22:36 AM,2356.8,20.66,,,,,
39,07/16/24 07:52:36 AM,2355.0,20.64,,,,,
40,07/16/24 08:22:36 AM,2364.0,20.64,,,,,
41,07/16/24 08:52:36 AM,2367.6,20.66,,,,,
42,07/16/24 09:22:36 AM,2372.4,20.67,,,,,
43,07/16/24 09:52:36 AM,2370.0,20.68,,,,,
44,07/16/24 10:22:36 AM,2381.5,20.68,,,,,
45,07/16/24 10:52:36 AM,2393.5,20.71,,,,,
46,07/16/24 11:22:36 AM,2401.4,20.72,,,,,
47,07/16/24 11:52:36 AM,2406.2,20.72,,,,,
48,07/16/24 12:22:36 PM,2424.9,20.72,,,,,
49,07/16/24 12:52:36 PM,2431.5,20.77,,,,,
50,07/16/24 01:22:36 PM,2519.3,20.78,,,,,
51,07/16/24 01:52:36 PM,2663.4,20.90,,,,,
52,07/16/24 02:22:36 PM,3049.0,21.03,,,,,
53,07/16/24 02:52:36 PM,3983.6,20.96,,,,,
54,07/16/24 03:22:36 PM,4620.0,20.98,,,,,
55,07/16/24 03:52:36 PM,5164.0,20.99,,,,,
56,07/16/24 04:22:36 PM,5566.9,21.04,,,,,
57,07/16/24 04:52:36 PM,5744.5,21.04,,,,,
58,07/16/24 05:22:36 PM,5758.8,21.13,,,,,
59,07/16/24 05:52:36 PM,5734.8,21.10,,,,,
60,07/16/24 06:22:36 PM,5691.3,21.09,,,,,
61,07/16/24 06:52:36 PM,5681.6,21.08,,,,,
62,07/16/24 07:22:36 PM,5715.3,21.07,,,,,
63,07/16/24 07:52:36 PM,5707.5,21.07,,,,,
64,07/16/24 08:22:36 PM,5703.0,21.04,,,,,
65,07/16/24 08:52:36 PM,5695.8,21.00,,,,,
66,07/16/24 09:22:36 PM,5699.1,20.99,,,,,
67,07/16/24 09:52:36 PM,5699.1,20.98,,,,,
68,07/16/24 10:22:36 PM,5701.0,20.96,,,,,
69,07/16/24 10:52:36 PM,5699.7,20.94,,,,,
70,07/16/24 11:22:36 PM,5697.1,20.93,,,,,
71,07/16/24 11:52:36 PM,5695.8,20.89,,,,,
