"Plot Title: nieuwpoort plassendal"
"#","Date Time, GMT+01:00","High Range, mS/cm (LGR S/N: 21362414, SEN S/N: 21362414)","Temp, °C (LGR S/N: 21362414, SEN S/N: 21362414)","Coupler Detached (LGR S/N: 21362414)","Coupler Attached (LGR S/N: 21362414)","Host Connected (LGR S/N: 21362414)","End Of File (LGR S/N: 21362414)"
1,02/16/23 01:02:29 PM,0.0000,15.17,,,,
2,02/16/23 01:02:57 PM,,,Logged,,,
3,02/16/23 01:32:29 PM,1.0302,6.93,,,,
4,02/16/23 02:02:29 PM,1.0318,6.94,,,,
5,02/16/23 02:32:29 PM,1.0329,6.98,,,,
6,02/16/23 03:02:29 PM,1.0340,7.04,,,,
7,02/16/23 03:32:29 PM,1.0351,7.07,,,,
8,02/16/23 04:02:29 PM,1.0356,7.09,,,,
9,02/16/23 04:32:29 PM,1.0361,7.13,,,,
10,02/16/23 05:02:29 PM,1.0361,7.13,,,,
11,02/16/23 05:32:29 PM,1.0361,7.13,,,,
12,02/16/23 06:02:29 PM,1.0378,7.18,,,,
13,02/16/23 06:32:29 PM,1.0378,7.18,,,,
14,02/16/23 07:02:29 PM,1.0383,7.21,,,,
15,02/16/23 07:32:29 PM,1.0383,7.24,,,,
16,02/16/23 08:02:29 PM,1.0383,7.23,,,,
17,02/16/23 08:32:29 PM,1.0394,7.26,,,,
18,02/16/23 09:02:29 PM,1.0405,7.29,,,,
19,02/16/23 09:32:29 PM,1.0410,7.31,,,,
20,02/16/23 10:02:29 PM,1.0416,7.33,,,,
21,02/16/23 10:32:29 PM,1.0421,7.34,,,,
22,02/16/23 11:02:29 PM,1.0421,7.35,,,,
23,02/16/23 11:32:29 PM,1.0427,7.38,,,,
24,02/17/23 12:02:29 AM,1.0432,7.38,,,,
25,02/17/23 12:32:29 AM,1.0437,7.39,,,,
26,02/17/23 01:02:29 AM,1.0437,7.39,,,,
27,02/17/23 01:32:29 AM,1.0427,7.39,,,,
28,02/17/23 02:02:29 AM,1.0437,7.39,,,,
29,02/17/23 02:32:29 AM,1.0437,7.39,,,,
30,02/17/23 03:02:29 AM,1.0427,7.39,,,,
31,02/17/23 03:32:29 AM,1.0432,7.39,,,,
32,02/17/23 04:02:29 AM,1.0437,7.41,,,,
33,02/17/23 04:32:29 AM,1.0437,7.41,,,,
34,02/17/23 05:02:29 AM,1.0443,7.42,,,,
35,02/17/23 05:32:29 AM,1.0443,7.46,,,,
36,02/17/23 06:02:29 AM,1.0448,7.47,,,,
37,02/17/23 06:32:29 AM,1.0459,7.50,,,,
38,02/17/23 07:02:29 AM,1.0459,7.51,,,,
39,02/17/23 07:32:29 AM,1.0465,7.54,,,,
40,02/17/23 08:02:29 AM,1.0470,7.55,,,,
41,02/17/23 08:32:29 AM,1.0470,7.56,,,,
42,02/17/23 09:02:29 AM,1.0481,7.59,,,,
43,02/17/23 09:32:29 AM,1.0481,7.61,,,,
44,02/17/23 10:02:29 AM,1.0503,7.66,,,,
45,02/17/23 10:32:29 AM,1.0508,7.68,,,,
46,02/17/23 11:02:29 AM,1.0524,7.72,,,,
47,02/17/23 11:32:29 AM,1.0508,7.71,,,,
48,02/17/23 12:02:29 PM,1.0530,7.78,,,,
49,02/17/23 12:32:29 PM,1.0562,7.87,,,,
50,02/17/23 01:02:29 PM,1.0601,7.98,,,,
51,02/17/23 01:32:29 PM,1.0590,7.98,,,,
52,02/17/23 02:02:29 PM,1.0633,8.10,,,,
53,02/17/23 02:32:29 PM,1.0660,8.18,,,,
54,02/17/23 03:02:29 PM,1.0660,8.20,,,,
55,02/17/23 03:32:29 PM,1.0666,8.23,,,,
56,02/17/23 04:02:29 PM,1.0677,8.27,,,,
57,02/17/23 04:32:29 PM,1.0682,8.30,,,,
58,02/17/23 05:02:29 PM,1.0693,8.32,,,,
59,02/17/23 05:32:29 PM,1.0693,8.32,,,,
60,02/17/23 06:02:29 PM,1.0693,8.32,,,,
61,02/17/23 06:32:29 PM,1.0688,8.30,,,,
62,02/17/23 07:02:29 PM,1.0688,8.32,,,,
63,02/17/23 07:32:29 PM,1.0699,8.34,,,,
64,02/17/23 08:02:29 PM,1.0699,8.35,,,,
65,02/17/23 08:32:29 PM,1.0699,8.35,,,,
66,02/17/23 09:02:29 PM,1.0704,8.36,,,,
67,02/17/23 09:32:29 PM,1.0699,8.39,,,,
68,02/17/23 10:02:29 PM,1.0704,8.39,,,,
69,02/17/23 10:32:29 PM,1.0704,8.39,,,,
70,02/17/23 11:02:29 PM,1.0715,8.40,,,,
71,02/17/23 11:32:29 PM,1.0715,8.41,,,,
72,02/18/23 12:02:29 AM,1.0715,8.43,,,,
73,02/18/23 12:32:29 AM,1.0720,8.43,,,,
74,02/18/23 01:02:29 AM,1.0726,8.43,,,,
75,02/18/23 01:32:29 AM,1.0737,8.43,,,,
76,02/18/23 02:02:29 AM,1.0737,8.44,,,,
