"Plot Title: Uniebrug paaiplaats"
"#","Date Time, GMT+02:00","High Range, μS/cm (LGR S/N: 20844999, SEN S/N: 20844999)","Temp, °C (LGR S/N: 20844999, SEN S/N: 20844999)","Coupler Detached (LGR S/N: 20844999)","Coupler Attached (LGR S/N: 20844999)","Host Connected (LGR S/N: 20844999)","End Of File (LGR S/N: 20844999)"
1,14/10/24 11:06:43,0.0,14.93,,,,
2,14/10/24 11:06:56,,,Logged,,,
3,14/10/24 11:36:43,1297.2,14.12,,,,
4,14/10/24 12:06:43,1428.1,14.18,,,,
5,14/10/24 12:36:43,1466.6,14.19,,,,
6,14/10/24 13:06:43,1432.2,14.14,,,,
7,14/10/24 13:36:43,1519.9,14.09,,,,
8,14/10/24 14:06:43,1394.4,13.98,,,,
9,14/10/24 14:36:43,1370.6,13.98,,,,
10,14/10/24 15:06:43,1438.6,14.02,,,,
11,14/10/24 15:36:43,1165.2,13.90,,,,
12,14/10/24 16:06:43,963.7,13.81,,,,
13,14/10/24 16:36:43,929.5,13.81,,,,
14,14/10/24 17:06:43,896.6,13.82,,,,
15,14/10/24 17:36:43,848.7,13.82,,,,
16,14/10/24 18:06:43,779.7,13.81,,,,
17,14/10/24 18:36:43,721.1,13.79,,,,
18,14/10/24 19:06:43,662.6,13.74,,,,
19,14/10/24 19:36:43,644.9,13.70,,,,
20,14/10/24 20:06:43,637.1,13.72,,,,
21,14/10/24 20:36:43,640.2,13.77,,,,
22,14/10/24 21:06:43,645.4,13.76,,,,
23,14/10/24 21:36:43,649.1,13.68,,,,
24,14/10/24 22:06:43,651.1,13.65,,,,
25,14/10/24 22:36:43,652.7,13.62,,,,
26,14/10/24 23:06:43,653.8,13.60,,,,
27,14/10/24 23:36:43,654.3,13.60,,,,
28,15/10/24 00:06:43,653.8,13.59,,,,
29,15/10/24 00:36:43,654.3,13.58,,,,
30,15/10/24 01:06:43,653.8,13.56,,,,
31,15/10/24 01:36:43,653.8,13.54,,,,
32,15/10/24 02:06:43,653.8,13.53,,,,
33,15/10/24 02:36:43,654.3,13.53,,,,
34,15/10/24 03:06:43,654.3,13.50,,,,
35,15/10/24 03:36:43,656.4,13.51,,,,
36,15/10/24 04:06:43,659.0,13.53,,,,
37,15/10/24 04:36:43,659.5,13.51,,,,
38,15/10/24 05:06:43,662.6,13.49,,,,
39,15/10/24 05:36:43,665.3,13.46,,,,
40,15/10/24 06:06:43,668.4,13.46,,,,
41,15/10/24 06:36:43,672.1,13.49,,,,
42,15/10/24 07:06:43,675.8,13.49,,,,
43,15/10/24 07:36:43,682.1,13.50,,,,
44,15/10/24 08:06:43,694.2,13.49,,,,
45,15/10/24 08:36:43,704.2,13.46,,,,
46,15/10/24 09:06:43,726.4,13.48,,,,
47,15/10/24 09:36:43,750.3,13.49,,,,
48,15/10/24 10:06:43,771.2,13.49,,,,
49,15/10/24 10:36:43,788.3,13.48,,,,
50,15/10/24 11:06:43,798.5,13.46,,,,
51,15/10/24 11:36:43,804.4,13.48,,,,
52,15/10/24 12:06:43,807.7,13.48,,,,
53,15/10/24 12:36:43,811.4,13.48,,,,
54,15/10/24 13:06:43,812.5,13.49,,,,
55,15/10/24 13:36:43,813.6,13.49,,,,
56,15/10/24 14:06:43,813.6,13.51,,,,
57,15/10/24 14:36:43,815.7,13.53,,,,
58,15/10/24 15:06:43,816.8,13.56,,,,
59,15/10/24 15:36:43,817.4,13.53,,,,
60,15/10/24 16:06:43,819.0,13.55,,,,
61,15/10/24 16:36:43,820.1,13.62,,,,
62,15/10/24 17:06:43,821.7,13.63,,,,
63,15/10/24 17:36:43,822.2,13.63,,,,
64,15/10/24 18:06:43,822.8,13.65,,,,
65,15/10/24 18:36:43,822.8,13.70,,,,
66,15/10/24 19:06:43,823.3,13.74,,,,
67,15/10/24 19:36:43,823.8,13.76,,,,
68,15/10/24 20:06:43,825.5,13.77,,,,
69,15/10/24 20:36:43,828.7,13.77,,,,
70,15/10/24 21:06:43,831.4,13.79,,,,
71,15/10/24 21:36:43,835.7,13.81,,,,
72,15/10/24 22:06:43,842.2,13.82,,,,
73,15/10/24 22:36:43,844.9,13.81,,,,
