"Plot Title: Yserstar"
"#","Date Time, GMT+01:00","Low Range, μS/cm (LGR S/N: 20845044, SEN S/N: 20845044)","High Range, μS/cm (LGR S/N: 20845044, SEN S/N: 20845044)","Temp, °C (LGR S/N: 20845044, SEN S/N: 20845044)","Coupler Detached (LGR S/N: 20845044)","Coupler Attached (LGR S/N: 20845044)","Host Connected (LGR S/N: 20845044)","Stopped (LGR S/N: 20845044)","End Of File (LGR S/N: 20845044)"
1,03/03/22 01:21:20 PM,260.7,266.1,19.24,,,,,
2,03/03/22 01:21:42 PM,,,,Logged,,,,
3,03/03/22 01:51:20 PM,8841.2,10401.8,7.57,,,,,
4,03/03/22 02:21:20 PM,9429.4,11165.7,7.59,,,,,
5,03/03/22 02:51:20 PM,9745.0,11542.7,7.62,,,,,
6,03/03/22 03:21:20 PM,10091.0,11989.2,7.73,,,,,
7,03/03/22 03:51:20 PM,9235.5,10897.8,7.71,,,,,
8,03/03/22 04:21:20 PM,7882.0,9199.5,7.78,,,,,
9,03/03/22 04:51:20 PM,1399.9,1448.3,7.85,,,,,
10,03/03/22 05:21:20 PM,1944.1,2069.2,7.78,,,,,
11,03/03/22 05:51:20 PM,2016.4,2153.2,7.85,,,,,
12,03/03/22 06:21:20 PM,2241.6,2414.1,8.06,,,,,
13,03/03/22 06:51:20 PM,1744.0,1838.2,8.25,,,,,
14,03/03/22 07:21:20 PM,1583.5,1658.7,8.21,,,,,
15,03/03/22 07:51:20 PM,1900.1,2018.1,8.13,,,,,
16,03/03/22 08:21:20 PM,1815.5,1922.8,8.07,,,,,
17,03/03/22 08:51:20 PM,1309.2,1350.1,8.14,,,,,
18,03/03/22 09:21:20 PM,1621.9,1701.0,8.08,,,,,
19,03/03/22 09:51:20 PM,1548.9,1617.7,8.06,,,,,
20,03/03/22 10:21:20 PM,1894.6,2013.7,7.88,,,,,
21,03/03/22 10:51:20 PM,1930.6,2053.9,7.87,,,,,
22,03/03/22 11:21:20 PM,1600.3,1676.7,7.97,,,,,
23,03/03/22 11:51:20 PM,1542.3,1611.6,7.99,,,,,
24,03/04/22 12:21:20 AM,1434.8,1491.0,7.94,,,,,
25,03/04/22 12:51:20 AM,5783.9,6667.6,7.66,,,,,
26,03/04/22 01:21:20 AM,7826.0,9126.4,7.79,,,,,
27,03/04/22 01:51:20 AM,8689.6,10191.7,7.87,,,,,
28,03/04/22 02:21:20 AM,9351.2,11036.0,7.89,,,,,
29,03/04/22 02:51:20 AM,9974.2,11807.5,7.90,,,,,
30,03/04/22 03:21:20 AM,9824.1,11620.6,7.92,,,,,
31,03/04/22 03:51:20 AM,9512.9,11217.8,7.94,,,,,
32,03/04/22 04:21:20 AM,8410.0,9819.2,7.93,,,,,
33,03/04/22 04:51:20 AM,6892.5,7959.4,7.90,,,,,
34,03/04/22 05:21:20 AM,2145.4,2301.0,7.83,,,,,
35,03/04/22 05:51:20 AM,2057.6,2197.6,7.80,,,,,
36,03/04/22 06:21:20 AM,2183.2,2345.1,7.76,,,,,
37,03/04/22 06:51:20 AM,3287.2,3655.9,7.76,,,,,
38,03/04/22 07:21:20 AM,4732.2,5375.4,7.78,,,,,
39,03/04/22 07:51:20 AM,3431.0,3826.8,7.59,,,,,
40,03/04/22 08:21:20 AM,2624.8,2839.9,7.52,,,,,
41,03/04/22 08:51:20 AM,4420.5,4998.1,7.61,,,,,
42,03/04/22 09:21:20 AM,3886.1,4362.6,7.60,,,,,
43,03/04/22 09:51:20 AM,2841.6,3112.8,7.54,,,,,
44,03/04/22 10:21:20 AM,1623.1,1699.7,7.52,,,,,
45,03/04/22 10:51:20 AM,1422.9,1475.7,7.56,,,,,
46,03/04/22 11:21:20 AM,1206.8,1238.0,7.56,,,,,
47,03/04/22 11:51:20 AM,1322.7,1365.8,7.61,,,,,
48,03/04/22 12:21:20 PM,2494.6,2711.4,7.61,,,,,
49,03/04/22 12:51:20 PM,2549.7,2775.5,7.62,,,,,
50,03/04/22 01:21:20 PM,7735.8,8994.0,7.78,,,,,
51,03/04/22 01:51:20 PM,9453.9,11123.3,7.88,,,,,
52,03/04/22 02:21:20 PM,9824.1,11564.3,7.90,,,,,
53,03/04/22 02:51:20 PM,10522.3,12437.6,7.93,,,,,
54,03/04/22 03:21:20 PM,10344.6,12255.5,7.95,,,,,
55,03/04/22 03:51:20 PM,10772.7,12782.9,8.02,,,,,
56,03/04/22 04:21:20 PM,10290.9,12170.7,8.04,,,,,
57,03/04/22 04:51:20 PM,9092.7,10629.3,8.12,,,,,
58,03/04/22 05:21:20 PM,6542.2,7502.5,8.12,,,,,
59,03/04/22 05:51:20 PM,2205.6,2362.7,8.28,,,,,
60,03/04/22 06:21:20 PM,1830.1,1930.4,8.49,,,,,
