#station_name;Nieuwpoort Brugsesteenweg Uniebrug DIEP
#station_no;IMC_999031
#stationparameter_name;EC
#parametertype_name;EC
#ts_name;DagGem
#ts_unitname;microsiemens per centimeter
#rows;207
#Timestamp;Value;Quality Code;Absolute Value;AV Quality Code
2024-03-28T00:00:00.000+01:00;;-1;;
2024-03-29T00:00:00.000+01:00;1806,11;130;;
2024-03-30T00:00:00.000+01:00;1577,12;130;;
2024-03-31T00:00:00.000+01:00;2390,16;130;;
2024-04-01T01:00:00.000+02:00;2401,31;130;;
2024-04-02T01:00:00.000+02:00;2574,12;130;;
2024-04-03T01:00:00.000+02:00;2583,35;130;;
2024-04-04T01:00:00.000+02:00;986,76;130;;
2024-04-05T01:00:00.000+02:00;;-1;;
2024-04-06T01:00:00.000+02:00;535,69;130;;
2024-04-07T01:00:00.000+02:00;617,88;130;;
2024-04-08T01:00:00.000+02:00;732,92;130;;
2024-04-09T01:00:00.000+02:00;899,13;130;;
2024-04-10T01:00:00.000+02:00;678,70;180;;
2024-04-11T01:00:00.000+02:00;806,61;180;;
2024-04-12T01:00:00.000+02:00;765,37;130;;
2024-04-13T01:00:00.000+02:00;1068,76;130;;
2024-04-14T01:00:00.000+02:00;1271,18;130;;
2024-04-15T01:00:00.000+02:00;1540,52;130;;
2024-04-16T01:00:00.000+02:00;2207,22;130;;
2024-04-17T01:00:00.000+02:00;924,89;180;;
2024-04-18T01:00:00.000+02:00;702,40;130;;
2024-04-19T01:00:00.000+02:00;598,03;130;;
2024-04-20T01:00:00.000+02:00;511,63;130;;
2024-04-21T01:00:00.000+02:00;507,29;130;;
2024-04-22T01:00:00.000+02:00;610,19;130;;
2024-04-23T01:00:00.000+02:00;761,47;130;;
2024-04-24T01:00:00.000+02:00;;-1;;
2024-04-25T01:00:00.000+02:00;898,47;130;;
2024-04-26T01:00:00.000+02:00;897,39;130;;
2024-04-27T01:00:00.000+02:00;1252,17;130;;
2024-04-28T01:00:00.000+02:00;1811,51;130;;
