"Plot Title: Uniebrug paaiplaats"
"#","Date Time, GMT+01:00","High Range, mS/cm (LGR S/N: 20844999, SEN S/N: 20844999)","Temp, °C (LGR S/N: 20844999, SEN S/N: 20844999)","Coupler Detached (LGR S/N: 20844999)","Coupler Attached (LGR S/N: 20844999)","Host Connected (LGR S/N: 20844999)","End Of File (LGR S/N: 20844999)"
1,01/22/24 12:00:35 PM,0.0000,8.36,,,,
2,01/22/24 12:00:46 PM,,,Logged,,,
3,01/22/24 12:30:35 PM,0.4224,3.90,,,,
4,01/22/24 01:00:35 PM,0.4229,3.94,,,,
5,01/22/24 01:30:35 PM,0.4234,3.97,,,,
6,01/22/24 02:00:35 PM,0.4239,3.99,,,,
7,01/22/24 02:30:35 PM,0.4249,4.10,,,,
8,01/22/24 03:00:35 PM,0.4264,4.15,,,,
9,01/22/24 03:30:35 PM,0.4284,4.16,,,,
10,01/22/24 04:00:35 PM,0.4333,4.20,,,,
11,01/22/24 04:30:35 PM,0.4422,4.26,,,,
12,01/22/24 05:00:35 PM,0.4527,4.38,,,,
13,01/22/24 05:30:35 PM,0.4606,4.44,,,,
14,01/22/24 06:00:35 PM,0.4611,4.43,,,,
15,01/22/24 06:30:35 PM,0.4542,4.39,,,,
16,01/22/24 07:00:35 PM,0.4477,4.35,,,,
17,01/22/24 07:30:35 PM,0.4477,4.35,,,,
18,01/22/24 08:00:35 PM,0.4542,4.39,,,,
19,01/22/24 08:30:35 PM,0.4606,4.41,,,,
20,01/22/24 09:00:35 PM,0.4676,4.43,,,,
21,01/22/24 09:30:35 PM,0.4731,4.43,,,,
22,01/22/24 10:00:35 PM,0.4771,4.44,,,,
23,01/22/24 10:30:35 PM,0.4801,4.47,,,,
24,01/22/24 11:00:35 PM,0.4821,4.48,,,,
25,01/22/24 11:30:35 PM,0.4831,4.49,,,,
26,01/23/24 12:00:35 AM,0.4841,4.50,,,,
27,01/23/24 12:30:35 AM,0.4841,4.50,,,,
28,01/23/24 01:00:35 AM,0.4841,4.50,,,,
29,01/23/24 01:30:35 AM,0.4841,4.52,,,,
30,01/23/24 02:00:35 AM,0.4836,4.52,,,,
31,01/23/24 02:30:35 AM,0.4831,4.52,,,,
32,01/23/24 03:00:35 AM,0.4831,4.52,,,,
33,01/23/24 03:30:35 AM,0.4796,4.52,,,,
34,01/23/24 04:00:35 AM,0.4741,4.50,,,,
35,01/23/24 04:30:35 AM,0.4641,4.52,,,,
36,01/23/24 05:00:35 AM,0.4557,4.49,,,,
37,01/23/24 05:30:35 AM,0.4611,4.49,,,,
38,01/23/24 06:00:35 AM,0.4816,4.53,,,,
39,01/23/24 06:30:35 AM,0.4967,4.57,,,,
40,01/23/24 07:00:35 AM,0.4992,4.64,,,,
41,01/23/24 07:30:35 AM,0.4982,4.71,,,,
42,01/23/24 08:00:35 AM,0.4982,4.75,,,,
43,01/23/24 08:30:35 AM,0.4997,4.78,,,,
44,01/23/24 09:00:35 AM,0.5012,4.82,,,,
45,01/23/24 09:30:35 AM,0.5028,4.89,,,,
46,01/23/24 10:00:35 AM,0.5038,4.94,,,,
47,01/23/24 10:30:35 AM,0.5043,5.00,,,,
48,01/23/24 11:00:35 AM,0.5053,5.06,,,,
49,01/23/24 11:30:35 AM,0.5053,5.14,,,,
50,01/23/24 12:00:35 PM,0.5053,5.19,,,,
51,01/23/24 12:30:35 PM,0.5053,5.26,,,,
52,01/23/24 01:00:35 PM,0.5058,5.33,,,,
53,01/23/24 01:30:35 PM,0.5053,5.36,,,,
54,01/23/24 02:00:35 PM,0.5053,5.40,,,,
55,01/23/24 02:30:35 PM,0.5048,5.43,,,,
56,01/23/24 03:00:35 PM,0.5048,5.47,,,,
57,01/23/24 03:30:35 PM,0.5038,5.52,,,,
58,01/23/24 04:00:35 PM,0.5033,5.55,,,,
59,01/23/24 04:30:35 PM,0.5017,5.59,,,,
60,01/23/24 05:00:35 PM,0.5002,5.64,,,,
61,01/23/24 05:30:35 PM,0.4982,5.70,,,,
62,01/23/24 06:00:35 PM,0.4952,5.80,,,,
63,01/23/24 06:30:35 PM,0.4917,5.89,,,,
64,01/23/24 07:00:35 PM,0.4892,5.94,,,,
65,01/23/24 07:30:35 PM,0.4897,6.05,,,,
66,01/23/24 08:00:35 PM,0.4927,6.13,,,,
67,01/23/24 08:30:35 PM,0.4977,6.24,,,,
68,01/23/24 09:00:35 PM,0.5033,6.34,,,,
69,01/23/24 09:30:35 PM,0.5083,6.44,,,,
