"Plot Title: diksmuide "
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 21362415, SEN S/N: 21362415)","Temp, °C (LGR S/N: 21362415, SEN S/N: 21362415)","Coupler Detached (LGR S/N: 21362415)","Coupler Attached (LGR S/N: 21362415)","Host Connected (LGR S/N: 21362415)","Stopped (LGR S/N: 21362415)","End Of File (LGR S/N: 21362415)"
1,01/22/24 10:50:07 AM,0.0,10.11,,,,,
2,01/22/24 10:51:16 AM,,,Logged,,,,
3,01/22/24 11:20:07 AM,535.5,4.15,,,,,
4,01/22/24 11:50:07 AM,538.6,4.30,,,,,
5,01/22/24 12:20:07 PM,542.3,4.33,,,,,
6,01/22/24 12:50:07 PM,544.9,4.51,,,,,
7,01/22/24 01:20:07 PM,547.5,4.68,,,,,
8,01/22/24 01:50:07 PM,549.6,4.79,,,,,
9,01/22/24 02:20:07 PM,550.6,4.93,,,,,
10,01/22/24 02:50:07 PM,553.7,4.85,,,,,
11,01/22/24 03:20:07 PM,550.6,5.06,,,,,
12,01/22/24 03:50:07 PM,547.5,5.24,,,,,
13,01/22/24 04:20:07 PM,545.4,5.30,,,,,
14,01/22/24 04:50:07 PM,541.2,5.33,,,,,
15,01/22/24 05:20:07 PM,539.1,5.37,,,,,
16,01/22/24 05:50:07 PM,540.2,5.29,,,,,
17,01/22/24 06:20:07 PM,538.1,5.48,,,,,
18,01/22/24 06:50:07 PM,538.6,5.46,,,,,
19,01/22/24 07:20:07 PM,533.9,5.67,,,,,
20,01/22/24 07:50:07 PM,524.5,5.67,,,,,
21,01/22/24 08:20:07 PM,524.5,5.79,,,,,
22,01/22/24 08:50:07 PM,525.1,5.78,,,,,
23,01/22/24 09:20:07 PM,529.7,5.79,,,,,
24,01/22/24 09:50:07 PM,537.0,5.85,,,,,
25,01/22/24 10:20:07 PM,542.8,5.92,,,,,
26,01/22/24 10:50:07 PM,548.0,5.93,,,,,
27,01/22/24 11:20:07 PM,549.6,6.01,,,,,
28,01/22/24 11:50:07 PM,549.6,6.01,,,,,
