"Plot Title: nieuwpoort plassendal"
"#","Date Time, GMT+01:00","High Range, mS/cm (LGR S/N: 21362414, SEN S/N: 21362414)","Temp, °C (LGR S/N: 21362414, SEN S/N: 21362414)","Coupler Detached (LGR S/N: 21362414)","Coupler Attached (LGR S/N: 21362414)","Host Connected (LGR S/N: 21362414)","Stopped (LGR S/N: 21362414)","End Of File (LGR S/N: 21362414)"
1,01/22/24 12:38:44 PM,0.0000,10.44,,,,,
2,01/22/24 12:39:25 PM,,,Logged,,,,
3,01/22/24 01:08:44 PM,0.8019,4.35,,,,,
4,01/22/24 01:38:44 PM,0.8123,4.43,,,,,
5,01/22/24 02:08:44 PM,0.8228,4.47,,,,,
6,01/22/24 02:38:44 PM,0.8260,4.52,,,,,
7,01/22/24 03:08:44 PM,0.8301,4.59,,,,,
8,01/22/24 03:38:44 PM,0.8317,4.60,,,,,
9,01/22/24 04:08:44 PM,0.8322,4.65,,,,,
10,01/22/24 04:38:44 PM,0.8338,4.67,,,,,
11,01/22/24 05:08:44 PM,0.8349,4.68,,,,,
12,01/22/24 05:38:44 PM,0.8301,4.69,,,,,
13,01/22/24 06:08:44 PM,0.8218,4.68,,,,,
14,01/22/24 06:38:44 PM,0.8212,4.65,,,,,
15,01/22/24 07:08:44 PM,0.8260,4.68,,,,,
16,01/22/24 07:38:44 PM,0.8301,4.69,,,,,
17,01/22/24 08:08:44 PM,0.8343,4.70,,,,,
18,01/22/24 08:38:44 PM,0.8354,4.70,,,,,
19,01/22/24 09:08:44 PM,0.8343,4.70,,,,,
20,01/22/24 09:38:44 PM,0.8370,4.70,,,,,
21,01/22/24 10:08:44 PM,0.8349,4.69,,,,,
22,01/22/24 10:38:44 PM,0.8343,4.70,,,,,
23,01/22/24 11:08:44 PM,0.8354,4.70,,,,,
24,01/22/24 11:38:44 PM,0.8349,4.72,,,,,
25,01/23/24 12:08:44 AM,0.8328,4.72,,,,,
26,01/23/24 12:38:44 AM,0.8354,4.72,,,,,
27,01/23/24 01:08:44 AM,0.8359,4.72,,,,,
28,01/23/24 01:38:44 AM,0.8370,4.73,,,,,
29,01/23/24 02:08:44 AM,0.8364,4.72,,,,,
30,01/23/24 02:38:44 AM,0.8380,4.72,,,,,
31,01/23/24 03:08:44 AM,0.8449,4.74,,,,,
