"Plot Title: Yserstar"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 20845044, SEN S/N: 20845044)","Temp, °C (LGR S/N: 20845044, SEN S/N: 20845044)","Coupler Detached (LGR S/N: 20845044)","Coupler Attached (LGR S/N: 20845044)","Host Connected (LGR S/N: 20845044)","Stopped (LGR S/N: 20845044)","End Of File (LGR S/N: 20845044)"
1,01/14/22 11:08:26 AM,93.6,7.78,,,,,
2,01/14/22 11:08:40 AM,,,Logged,,,,
3,01/14/22 11:38:26 AM,433.2,5.57,,,,,
4,01/14/22 12:08:26 PM,434.2,5.59,,,,,
5,01/14/22 12:38:26 PM,435.2,5.61,,,,,
6,01/14/22 01:08:26 PM,433.2,5.59,,,,,
7,01/14/22 01:38:26 PM,444.5,5.61,,,,,
8,01/14/22 02:08:26 PM,481.9,5.76,,,,,
9,01/14/22 02:38:26 PM,610.2,5.67,,,,,
10,01/14/22 03:08:26 PM,719.0,5.75,,,,,
11,01/14/22 03:38:26 PM,787.1,5.82,,,,,
12,01/14/22 04:08:26 PM,730.6,5.87,,,,,
13,01/14/22 04:38:26 PM,638.8,5.91,,,,,
14,01/14/22 05:08:26 PM,499.2,5.95,,,,,
15,01/14/22 05:38:26 PM,468.4,5.97,,,,,
16,01/14/22 06:08:26 PM,446.6,5.95,,,,,
17,01/14/22 06:38:26 PM,446.1,5.92,,,,,
18,01/14/22 07:08:26 PM,446.1,5.91,,,,,
19,01/14/22 07:38:26 PM,445.0,5.90,,,,,
20,01/14/22 08:08:26 PM,445.0,5.91,,,,,
21,01/14/22 08:38:26 PM,445.0,5.94,,,,,
22,01/14/22 09:08:26 PM,446.1,5.94,,,,,
23,01/14/22 09:38:26 PM,446.6,5.94,,,,,
24,01/14/22 10:08:26 PM,446.6,5.94,,,,,
25,01/14/22 10:38:26 PM,447.6,5.95,,,,,
26,01/14/22 11:08:26 PM,447.6,5.95,,,,,
27,01/14/22 11:38:26 PM,447.6,5.97,,,,,
28,01/15/22 12:08:26 AM,448.7,5.97,,,,,
29,01/15/22 12:38:26 AM,448.7,5.97,,,,,
30,01/15/22 01:08:26 AM,449.2,5.97,,,,,
31,01/15/22 01:38:26 AM,449.2,5.97,,,,,
32,01/15/22 02:08:26 AM,449.2,5.99,,,,,
33,01/15/22 02:38:26 AM,449.2,5.97,,,,,
34,01/15/22 03:08:26 AM,449.2,5.96,,,,,
35,01/15/22 03:38:26 AM,448.7,5.96,,,,,
36,01/15/22 04:08:26 AM,448.7,5.97,,,,,
37,01/15/22 04:38:26 AM,456.4,5.97,,,,,
38,01/15/22 05:08:26 AM,933.3,6.01,,,,,
39,01/15/22 05:38:26 AM,782.1,6.01,,,,,
40,01/15/22 06:08:26 AM,706.4,5.99,,,,,
41,01/15/22 06:38:26 AM,593.6,5.99,,,,,
42,01/15/22 07:08:26 AM,508.1,5.95,,,,,
43,01/15/22 07:38:26 AM,478.8,5.90,,,,,
44,01/15/22 08:08:26 AM,464.2,5.94,,,,,
45,01/15/22 08:38:26 AM,462.7,5.95,,,,,
46,01/15/22 09:08:26 AM,455.4,5.97,,,,,
47,01/15/22 09:38:26 AM,454.4,5.97,,,,,
48,01/15/22 10:08:26 AM,466.8,5.97,,,,,
49,01/15/22 10:38:26 AM,466.3,5.96,,,,,
50,01/15/22 11:08:26 AM,469.9,5.97,,,,,
51,01/15/22 11:38:26 AM,499.2,5.99,,,,,
52,01/15/22 12:08:26 PM,480.9,5.97,,,,,
53,01/15/22 12:38:26 PM,490.3,5.99,,,,,
54,01/15/22 01:08:26 PM,498.1,6.00,,,,,
55,01/15/22 01:38:26 PM,492.9,6.00,,,,,
56,01/15/22 02:08:26 PM,486.6,6.00,,,,,
57,01/15/22 02:38:26 PM,479.3,6.01,,,,,
58,01/15/22 03:08:26 PM,513.4,6.01,,,,,
59,01/15/22 03:38:26 PM,549.3,5.99,,,,,
60,01/15/22 04:08:26 PM,597.8,5.99,,,,,
61,01/15/22 04:38:26 PM,615.1,5.96,,,,,
62,01/15/22 05:08:26 PM,638.8,5.99,,,,,
63,01/15/22 05:38:26 PM,848.8,6.04,,,,,
64,01/15/22 06:08:26 PM,769.9,6.05,,,,,
65,01/15/22 06:38:26 PM,522.8,6.04,,,,,
66,01/15/22 07:08:26 PM,490.8,6.04,,,,,
67,01/15/22 07:38:26 PM,471.5,6.04,,,,,
68,01/15/22 08:08:26 PM,468.9,6.02,,,,,
69,01/15/22 08:38:26 PM,469.9,6.01,,,,,
70,01/15/22 09:08:26 PM,481.4,5.99,,,,,
71,01/15/22 09:38:26 PM,481.4,5.97,,,,,
72,01/15/22 10:08:26 PM,478.8,5.96,,,,,
73,01/15/22 10:38:26 PM,476.2,5.97,,,,,
74,01/15/22 11:08:26 PM,477.7,5.99,,,,,
75,01/15/22 11:38:26 PM,476.7,6.00,,,,,
76,01/16/22 12:08:26 AM,485.6,6.01,,,,,
77,01/16/22 12:38:26 AM,495.0,6.04,,,,,
78,01/16/22 01:08:26 AM,489.8,6.02,,,,,
79,01/16/22 01:38:26 AM,493.4,6.04,,,,,
80,01/16/22 02:08:26 AM,492.4,6.02,,,,,
81,01/16/22 02:38:26 AM,487.1,6.01,,,,,
82,01/16/22 03:08:26 AM,475.1,5.97,,,,,
83,01/16/22 03:38:26 AM,476.7,5.95,,,,,
84,01/16/22 04:08:26 AM,500.8,5.94,,,,,
85,01/16/22 04:38:26 AM,524.4,5.92,,,,,
86,01/16/22 05:08:26 AM,538.2,5.90,,,,,
87,01/16/22 05:38:26 AM,559.4,5.89,,,,,
88,01/16/22 06:08:26 AM,577.0,5.89,,,,,
89,01/16/22 06:38:26 AM,571.1,5.89,,,,,
