"Plot Title: Uniebrug paaiplaats"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 20844999, SEN S/N: 20844999)","Temp, °C (LGR S/N: 20844999, SEN S/N: 20844999)","Coupler Detached (LGR S/N: 20844999)","Coupler Attached (LGR S/N: 20844999)","Host Connected (LGR S/N: 20844999)","Stopped (LGR S/N: 20844999)","End Of File (LGR S/N: 20844999)"
1,01/14/22 10:55:45 AM,154.3,9.47,,,,,
2,01/14/22 10:55:50 AM,,,Logged,,,,
3,01/14/22 11:25:45 AM,448.7,5.93,,,,,
4,01/14/22 11:55:45 AM,449.2,5.94,,,,,
5,01/14/22 12:25:45 PM,450.2,5.97,,,,,
6,01/14/22 12:55:45 PM,450.7,5.97,,,,,
7,01/14/22 01:25:45 PM,450.7,5.98,,,,,
8,01/14/22 01:55:45 PM,451.2,6.01,,,,,
9,01/14/22 02:25:45 PM,452.7,6.02,,,,,
10,01/14/22 02:55:45 PM,453.7,6.08,,,,,
11,01/14/22 03:25:45 PM,456.1,6.24,,,,,
12,01/14/22 03:55:45 PM,456.6,6.21,,,,,
13,01/14/22 04:25:45 PM,457.1,6.16,,,,,
14,01/14/22 04:55:45 PM,457.1,6.17,,,,,
15,01/14/22 05:25:45 PM,458.6,6.19,,,,,
16,01/14/22 05:55:45 PM,459.1,6.20,,,,,
17,01/14/22 06:25:45 PM,460.1,6.21,,,,,
18,01/14/22 06:55:45 PM,461.6,6.21,,,,,
19,01/14/22 07:25:45 PM,464.1,6.22,,,,,
20,01/14/22 07:55:45 PM,467.1,6.22,,,,,
21,01/14/22 08:25:45 PM,470.1,6.22,,,,,
22,01/14/22 08:55:45 PM,473.6,6.25,,,,,
23,01/14/22 09:25:45 PM,476.6,6.25,,,,,
24,01/14/22 09:55:45 PM,478.1,6.25,,,,,
25,01/14/22 10:25:45 PM,478.6,6.25,,,,,
26,01/14/22 10:55:45 PM,480.1,6.25,,,,,
27,01/14/22 11:25:45 PM,481.1,6.26,,,,,
28,01/14/22 11:55:45 PM,482.1,6.26,,,,,
29,01/15/22 12:25:45 AM,483.1,6.26,,,,,
30,01/15/22 12:55:45 AM,484.1,6.26,,,,,
31,01/15/22 01:25:45 AM,484.1,6.27,,,,,
32,01/15/22 01:55:45 AM,485.1,6.26,,,,,
33,01/15/22 02:25:45 AM,485.1,6.26,,,,,
34,01/15/22 02:55:45 AM,486.1,6.26,,,,,
35,01/15/22 03:25:45 AM,486.7,6.27,,,,,
36,01/15/22 03:55:45 AM,487.2,6.26,,,,,
37,01/15/22 04:25:45 AM,487.7,6.26,,,,,
38,01/15/22 04:55:45 AM,488.2,6.27,,,,,
39,01/15/22 05:25:45 AM,490.2,6.26,,,,,
40,01/15/22 05:55:45 AM,491.2,6.25,,,,,
41,01/15/22 06:25:45 AM,492.7,6.24,,,,,
42,01/15/22 06:55:45 AM,493.7,6.22,,,,,
43,01/15/22 07:25:45 AM,493.7,6.21,,,,,
44,01/15/22 07:55:45 AM,493.7,6.19,,,,,
45,01/15/22 08:25:45 AM,497.2,6.16,,,,,
46,01/15/22 08:55:45 AM,500.2,6.16,,,,,
47,01/15/22 09:25:45 AM,503.3,6.17,,,,,
48,01/15/22 09:55:45 AM,505.8,6.17,,,,,
49,01/15/22 10:25:45 AM,507.8,6.19,,,,,
50,01/15/22 10:55:45 AM,508.8,6.17,,,,,
