"Plot Title: Yserstar"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 20845044, SEN S/N: 20845044)","High Range, μS/cm (LGR S/N: 20845044, SEN S/N: 20845044)","Temp, °C (LGR S/N: 20845044, SEN S/N: 20845044)","Coupler Detached (LGR S/N: 20845044)","Coupler Attached (LGR S/N: 20845044)","Host Connected (LGR S/N: 20845044)","Stopped (LGR S/N: 20845044)","End Of File (LGR S/N: 20845044)"
1,08/26/22 09:51:37 AM,0.0,0.0,22.15,,,,,
2,08/26/22 09:51:57 AM,,,,Logged,,,,
3,08/26/22 10:21:37 AM,11487.3,11792.5,24.05,,,,,
4,08/26/22 10:51:37 AM,11491.7,11793.5,24.04,,,,,
5,08/26/22 11:21:37 AM,11485.1,11782.5,24.02,,,,,
6,08/26/22 11:51:37 AM,11505.0,11799.5,24.02,,,,,
7,08/26/22 12:21:37 PM,11511.6,11809.5,24.05,,,,,
8,08/26/22 12:51:37 PM,11566.9,11865.5,24.06,,,,,
9,08/26/22 01:21:37 PM,11973.4,12291.3,24.11,,,,,
10,08/26/22 01:51:37 PM,13079.6,13442.8,24.27,,,,,
11,08/26/22 02:21:37 PM,12704.1,13046.9,24.28,,,,,
12,08/26/22 02:51:37 PM,13049.7,13424.3,24.25,,,,,
13,08/26/22 03:21:37 PM,12858.9,13208.8,24.27,,,,,
14,08/26/22 03:51:37 PM,12673.5,13009.6,24.28,,,,,
15,08/26/22 04:21:37 PM,12428.3,12748.2,24.30,,,,,
16,08/26/22 04:51:37 PM,12090.4,12406.6,24.32,,,,,
17,08/26/22 05:21:37 PM,11916.8,12224.8,24.30,,,,,
18,08/26/22 05:51:37 PM,11786.4,12072.1,24.33,,,,,
19,08/26/22 06:21:37 PM,11803.2,12104.6,24.32,,,,,
20,08/26/22 06:51:37 PM,11868.4,12163.6,24.33,,,,,
21,08/26/22 07:21:37 PM,11844.7,12142.2,24.33,,,,,
22,08/26/22 07:51:37 PM,11714.8,12004.3,24.35,,,,,
23,08/26/22 08:21:37 PM,11678.0,11968.0,24.28,,,,,
24,08/26/22 08:51:37 PM,11570.2,11868.5,24.24,,,,,
25,08/26/22 09:21:37 PM,11581.3,11861.5,24.28,,,,,
26,08/26/22 09:51:37 PM,11564.7,11846.5,24.24,,,,,
27,08/26/22 10:21:37 PM,11564.7,11848.5,24.21,,,,,
28,08/26/22 10:51:37 PM,11560.2,11835.5,24.19,,,,,
29,08/26/22 11:21:37 PM,11538.1,11828.4,24.16,,,,,
30,08/26/22 11:51:37 PM,11538.1,11813.5,24.13,,,,,
31,08/27/22 12:21:37 AM,11508.3,11794.5,24.06,,,,,
32,08/27/22 12:51:37 AM,11511.6,11793.5,24.04,,,,,
33,08/27/22 01:21:37 AM,11531.5,11814.5,24.02,,,,,
34,08/27/22 01:51:37 AM,12586.8,12925.6,24.09,,,,,
35,08/27/22 02:21:37 AM,12668.8,13008.5,24.05,,,,,
36,08/27/22 02:51:37 AM,12719.4,13057.6,24.06,,,,,
37,08/27/22 03:21:37 AM,12680.6,13010.7,24.04,,,,,
38,08/27/22 03:51:37 AM,12751.2,13090.8,24.04,,,,,
39,08/27/22 04:21:37 AM,12469.0,12784.0,24.00,,,,,
40,08/27/22 04:51:37 AM,12242.5,12545.4,23.97,,,,,
41,08/27/22 05:21:37 AM,11803.2,12093.4,23.94,,,,,
42,08/27/22 05:51:37 AM,11594.6,11882.5,23.82,,,,,
43,08/27/22 06:21:37 AM,11538.1,11813.5,23.74,,,,,
44,08/27/22 06:51:37 AM,11459.8,11740.6,23.67,,,,,
45,08/27/22 07:21:37 AM,11449.9,11732.7,23.64,,,,,
46,08/27/22 07:51:37 AM,11413.6,11697.9,23.59,,,,,
47,08/27/22 08:21:37 AM,11430.1,11707.8,23.57,,,,,
48,08/27/22 08:51:37 AM,11413.6,11693.9,23.54,,,,,
49,08/27/22 09:21:37 AM,11378.5,11663.2,23.52,,,,,
50,08/27/22 09:51:37 AM,11235.4,11530.9,23.49,,,,,
51,08/27/22 10:21:37 AM,11353.3,11650.3,23.52,,,,,
52,08/27/22 10:51:37 AM,11381.8,11666.1,23.54,,,,,
53,08/27/22 11:21:37 AM,11388.3,11671.1,23.59,,,,,
54,08/27/22 11:51:37 AM,11391.6,11683.0,23.58,,,,,
55,08/27/22 12:21:37 PM,11391.6,11683.0,23.59,,,,,
56,08/27/22 12:51:37 PM,11443.3,11729.7,23.64,,,,,
57,08/27/22 01:21:37 PM,11465.3,11753.6,23.63,,,,,
58,08/27/22 01:51:37 PM,12906.4,13262.7,23.80,,,,,
59,08/27/22 02:21:37 PM,12453.9,12788.2,23.81,,,,,
60,08/27/22 02:51:37 PM,12534.2,12873.7,23.85,,,,,
61,08/27/22 03:21:37 PM,12397.0,12725.1,23.88,,,,,
62,08/27/22 03:51:37 PM,12423.7,12765.0,23.91,,,,,
63,08/27/22 04:21:37 PM,12097.2,12415.9,23.91,,,,,
64,08/27/22 04:51:37 PM,11793.1,12105.6,23.87,,,,,
65,08/27/22 05:21:37 PM,11578.0,11887.6,23.86,,,,,
66,08/27/22 05:51:37 PM,11498.3,11796.5,23.86,,,,,
67,08/27/22 06:21:37 PM,11514.9,11814.5,23.83,,,,,
68,08/27/22 06:51:37 PM,11768.4,12076.2,23.86,,,,,
69,08/27/22 07:21:37 PM,11423.5,11724.7,23.92,,,,,
70,08/27/22 07:51:37 PM,11473.0,11778.5,23.97,,,,,
71,08/27/22 08:21:37 PM,11440.0,11748.6,23.99,,,,,
72,08/27/22 08:51:37 PM,11473.0,11765.5,23.97,,,,,
73,08/27/22 09:21:37 PM,11498.3,11797.5,23.99,,,,,
74,08/27/22 09:51:37 PM,11453.2,11752.6,23.94,,,,,
75,08/27/22 10:21:37 PM,11359.8,11673.1,23.87,,,,,
76,08/27/22 10:51:37 PM,11401.5,11702.9,23.83,,,,,
77,08/27/22 11:21:37 PM,11381.8,11693.9,23.78,,,,,
78,08/27/22 11:51:37 PM,11381.8,11698.9,23.77,,,,,
79,08/28/22 12:21:37 AM,11371.9,11683.0,23.72,,,,,
80,08/28/22 12:51:37 AM,11362.0,11683.0,23.69,,,,,
81,08/28/22 01:21:37 AM,11368.6,11686.0,23.67,,,,,
82,08/28/22 01:51:37 AM,11368.6,11697.9,23.66,,,,,
83,08/28/22 02:21:37 AM,11684.7,12009.4,23.71,,,,,
84,08/28/22 02:51:37 AM,12289.6,12655.9,23.72,,,,,
85,08/28/22 03:21:37 AM,12428.3,12790.3,23.67,,,,,
86,08/28/22 03:51:37 AM,12394.7,12755.6,23.63,,,,,
87,08/28/22 04:21:37 AM,12279.3,12643.4,23.60,,,,,
88,08/28/22 04:51:37 AM,11816.7,12162.5,23.57,,,,,
89,08/28/22 05:21:37 AM,11785.2,12121.8,23.48,,,,,
90,08/28/22 05:51:37 AM,11520.4,11849.5,23.44,,,,,
91,08/28/22 06:21:37 AM,11317.2,11643.4,23.22,,,,,
92,08/28/22 06:51:37 AM,11272.5,11595.9,23.15,,,,,
93,08/28/22 07:21:37 AM,11282.3,11605.8,23.14,,,,,
94,08/28/22 07:51:37 AM,11246.3,11590.0,23.08,,,,,
95,08/28/22 08:21:37 AM,11252.8,11582.1,23.05,,,,,
96,08/28/22 08:51:37 AM,11243.1,11581.1,23.02,,,,,
97,08/28/22 09:21:37 AM,11227.8,11564.3,23.00,,,,,
98,08/28/22 09:51:37 AM,11239.8,11575.2,23.00,,,,,
99,08/28/22 10:21:37 AM,11249.6,11589.0,23.02,,,,,
100,08/28/22 10:51:37 AM,11249.6,11594.9,23.02,,,,,
101,08/28/22 11:21:37 AM,11249.6,11598.9,23.03,,,,,
102,08/28/22 11:51:37 AM,11351.1,11703.9,23.08,,,,,
103,08/28/22 12:21:37 PM,11299.7,11647.3,23.05,,,,,
104,08/28/22 12:51:37 PM,11264.8,11614.7,23.07,,,,,
105,08/28/22 01:21:37 PM,11299.7,11635.4,23.12,,,,,
106,08/28/22 01:51:37 PM,11291.0,11641.4,23.15,,,,,
107,08/28/22 02:21:37 PM,11331.4,11673.1,23.19,,,,,
108,08/28/22 02:51:37 PM,11429.0,11784.5,23.19,,,,,
109,08/28/22 03:21:37 PM,11422.4,11775.5,23.22,,,,,
110,08/28/22 03:51:37 PM,11402.6,11754.6,23.24,,,,,
111,08/28/22 04:21:37 PM,11464.2,11827.4,23.24,,,,,
112,08/28/22 04:51:37 PM,12410.9,12829.3,23.40,,,,,
113,08/28/22 05:21:37 PM,11653.5,12018.5,23.45,,,,,
114,08/28/22 05:51:37 PM,11596.8,11959.9,23.45,,,,,
115,08/28/22 06:21:37 PM,11458.7,11815.5,23.45,,,,,
116,08/28/22 06:51:37 PM,11319.4,11668.1,23.44,,,,,
117,08/28/22 07:21:37 PM,11390.5,11746.6,23.41,,,,,
118,08/28/22 07:51:37 PM,11360.9,11720.7,23.39,,,,,
119,08/28/22 08:21:37 PM,11331.4,11691.9,23.31,,,,,
120,08/28/22 08:51:37 PM,11351.1,11715.8,23.31,,,,,
121,08/28/22 09:21:37 PM,11344.5,11706.8,23.29,,,,,
122,08/28/22 09:51:37 PM,11331.4,11701.9,23.25,,,,,
123,08/28/22 10:21:37 PM,11347.8,11715.8,23.24,,,,,
124,08/28/22 10:51:37 PM,11312.8,11683.0,23.14,,,,,
125,08/28/22 11:21:37 PM,11303.0,11678.0,23.11,,,,,
126,08/28/22 11:51:37 PM,11309.5,11683.0,23.10,,,,,
127,08/29/22 12:21:37 AM,11309.5,11689.0,23.07,,,,,
128,08/29/22 12:51:37 AM,11309.5,11681.0,23.03,,,,,
129,08/29/22 01:21:37 AM,11299.7,11686.0,23.00,,,,,
