loc.ctd;loc.debiet
akl ramskapelle;Zomergem
lk ramskapelle;Damme
akl moerkerke;Zomergem
blinker moerkerke;Damme
sk zeebrugge;Damme
brugge;Oostkamp
diksmuide;Keiem
schoorbakkebrug;Keiem
tervate;Keiem
uniebrug;Keiem
yserstar;Keiem
nieuwpoort-plassendale;Keiem
plassendale;Keiem
sas slijkens;Oostkamp
oude veurne vaart;Veurne
blauwe sluis;Oostkamp
clemensheule;Oostkamp
maertensas;Oostkamp
